,count_of_variables,times_of_solves,ratios,logs
0,2,0.0039844512939453125,,
1,4,0.0,0.0,-inf
2,8,0.000997781753540039,inf,inf
3,16,0.0,0.0,-inf
4,32,0.0009965896606445312,inf,inf
5,64,0.001992940902709961,1.9997607655502392,0.9998274185007944
6,128,0.004983663558959961,2.500657973441799,1.3223077469379683
7,256,0.010983467102050781,2.203894177869205,1.1400549531610975
8,512,0.02292323112487793,2.0870669445168013,1.0614768769584257
9,1024,0.05781149864196777,2.5219611636348507,1.3345460593842897
10,2048,0.23321533203125,4.034064805612032,2.01223426044669
11,4096,1.1531577110290527,4.9446050608479455,2.305855293580881
12,8192,7.166783809661865,6.214920770261671,2.6357359994709753
13,16384,53.29971647262573,7.437048177840941,2.894730118079242
14,32768,514.4411246776581,9.651854807555505,3.2708062133162885
